Parameter,Significance_Threshold,Max_Amplitude
Size.Mean.Area,77.51789144647638,177.47613754693103
Size.Mean.DiameterMean,83.39134870177273,192.24926807702295
Size.Mean.DiameterMin,84.7124728642739,206.25698114724602
Size.Mean.DiameterMax,81.86272716714704,178.7575729715156
Size.Mean.Perimeter,65.65875590048591,125.86860734339957
Size.Mean.GrayIntensity,85.14059572513081,74.00416952576666
Size.Mean.ShapeFactor,83.93251172519683,159.95698284257065
Size.Mean.Elongation,82.42249962679719,242.3490678068044
Size.Mean.Sphericity,83.62276606872106,231.51188400757775
