Parameter,Slope,R-squared,p-value
Size_Mean_Area,-0.16765332798267266,0.04452231513162075,3.453967984179164e-09
Size_Mean_DiameterMean,-0.0040869960009074,2.645829213121509e-05,0.8867563152845382
Size_Mean_DiameterMin,0.08610828582104053,0.011744736272937373,0.0026188704281208445
Size_Mean_DiameterMax,-0.07033719900477457,0.007836524958661606,0.014061867085123775
Size_Mean_Perimeter,-0.0995382996656759,0.015694006107376146,0.0004975397947033153
Size_Mean_GrayIntensity,-0.11753603268203282,0.02188242439389243,3.819300223391174e-05
Size_Mean_ShapeFactor,0.37087568202752735,0.21787635332295174,7.23458706405396e-43
Size_Mean_Elongation,-0.5394867755441852,0.46101492791468635,4.859193336217629e-105
Size_Mean_Sphericity,0.5046972994148173,0.4034738045567873,4.0698927178211145e-88
